ID,PedidoID,Tipo_Venda,Produto ID,Produto,Quantidade,Preço Unitário,Total,Margem do Pedido,Custo Unitário,Custo Total,Quantidade Disponível Itens
f1bf8dfd,2623,Pedido,36,Banco MTB Sport Comum - Selim,1,20,20,"57,00%","14,9","14,9",1
6c71379a,2624,Pedido,93,Câmbio traseiro comum s/gancheira,1,50,50,"81,00%","9,3","9,3",25
b4bd0e06,2624,Pedido,22cf9596,Serviço de instalação de câmbio traseiro,1,20,20,"100,00%",,0,5
626542fb,2625,Pedido,130,Eixo Dianteiro Grosso comum,1,30,30,"88,00%","2,99","2,99",4
0f24f55d,2626,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,25,25,"66,00%","8,61","8,61",11
c8d23d9d,2626,Pedido,d02ffb3b,Porca 15mm de roda,2,5,10,"80,00%",1,2,2
feedef0d,2627,Pedido,182,Estojo Conserto de Câmara Vulcaflex,1,20,20,"54,00%","9,26","9,26",6
898e2db6,2628,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,15,15,"100,00%",0,0,99
6cabb4df,2629,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,25,25,"66,00%","8,61","8,61",10
e9318521,2629,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,5,5,"100,00%",0,0,5
83a87010,2630,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,10,10,"100,00%",0,0,99
b7932c49,2631,Pedido,182,Estojo Conserto de Câmara Vulcaflex,1,20,20,"54,00%","9,26","9,26",5
c5fff8b9,2632,Pedido,f7eab828,Camara 29'' bico longo Paco,1,35,35,"61,00%","13,55","13,55",9
3721f43c,2633,Pedido,6b1c1e59,Roda Traseira para Freio a Disco Aro 29,1,190,190,"58,00%",80,80,1
adcdc560,2633,Pedido,511f2753,Serviço de instalação de pneu,1,10,10,"100,00%",,0,5
63cdc2c7,2634,Pedido,6d6ad1d3,Rolamento de roda 6000 pequeno,1,10,10,"78,00%","2,19","2,19",18
cfe37eb0,2634,Pedido,09bcf6ae,Sapata com rosca par - Balaca orbital sem blister,1,10,10,"86,00%","2,05","2,05",19
5c358fa4,2635,Pedido,c2d06765,Banco 2 molas Elleven Preto com Cinza - Selim,1,60,60,"55,00%","27,14","27,14",9
fef284bb,2635,Pedido,249,Punho comum cores - par,1,15,15,"74,00%","3,89","3,89",1
548456d5,2635,Pedido,f1097bf5,Cabo de freio Ceci importado,2,5,10,"86,00%","0,71","1,42",132
cb656a9d,2635,Pedido,4,Alavanca cambio comum plástico par,1,30,30,"68,00%","9,53","9,53",9
6bff03e0,2635,Pedido,f8bbd447,Conduíte Metro,2,10,20,"50,00%",5,10,20
644eab52,2635,Pedido,32,Sapatas de freio pino baixa par - balacas sem blister,2,15,30,"95,00%","0,82","1,64",47
b441c907,2635,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
63882018,2635,Pedido,dd98c533,30 - Regulagem de câmbios,1,30,30,"100,00%",0,0,99
575fba37,2635,Pedido,a045adf8,Serviço de centragem de roda,1,30,30,"100,00%",,0,5
b110324f,2635,Pedido,199,Pedal Plataf. Plástico Inglês - par,1,30,30,"70,00%","8,9","8,9",3
9fe30464,2635,Pedido,c8303c67,Pintura Simples,1,15,15,"100,00%",,0,1
a1dfdff6,2635,Pedido,afdb5984,80 - Lubrificação Geral,1,30,30,"100,00%",,0,1
9104160c,2636,Pedido,a045adf8,Serviço de centragem de roda,2,30,60,"100,00%",,0,5
bafbd8b5,2637,Pedido,8f1d0446,Engrenagem 40 dentes preto,1,30,30,"88,00%","3,75","3,75",3
6a6f77fa,2637,Pedido,d6beaaba,Roda Livre 18 dentes catraca simples,1,30,30,"74,00%","6,48","6,48",15
25cd8f4b,2637,Pedido,4e225e12,Mov. Centr. 45mm kit rolamentos,1,40,40,"57,00%","17,38","17,38",5
7272dba9,2638,Pedido,184,Manete alumínio preto par,1,40,40,"58,00%","14,57","14,57",10
1eb0073f,2638,Pedido,f1097bf5,Cabo de freio Ceci importado,2,5,10,"86,00%","0,71","1,42",130
42b584c2,2638,Pedido,f8bbd447,Conduíte Metro,1,10,10,"50,00%",5,5,20
e237f76b,2638,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
79f9435a,2638,Pedido,eefdf672,Serviço de Instalação de Movimento de Direção,1,35,35,"100,00%",,0,1
5decfd78,2638,Pedido,73,"Câmara aro 24X1,75 Marcas Diversas",1,25,25,"63,00%","9,24","9,24",4
a918bf3a,2638,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
95ccaf10,2638,Pedido,239,Pneu Levorin Praieiro aro 24 x 1.95,2,60,120,"41,00%","47,25","94,5",17
1d28d54a,2638,Pedido,511f2753,Serviço de instalação de pneu,2,10,20,"100,00%",,0,5
a967a5ca,2638,Pedido,e64f0197,Tele busca e entrega,1,20,20,"100,00%",,0,1
0d687cfc,2639,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,15,15,"100,00%",0,0,99
05a9dce0,2640,Pedido,ac44875a,Câmara 24X3.0 Chopper,1,80,80,"51,00%",27,27,1
c65ea165,2640,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
0f5d9b44,2641,Pedido,7cf05702,Jogo Roda lateral JKS aros 14/16/20,1,50,50,"50,00%","22,5","22,5",4
89dc575e,2641,Pedido,07e37b2d,Instalação de rodas auxiliares,1,10,10,"100,00%",,0,1
ddedd82a,2642,Pedido,a420a9a0,Pastilha de freio a disco mecânico retangular c/cupilha,2,25,50,"60,00%",10,20,14
2d8374f8,2642,Pedido,dd98c533,30 - Regulagem de câmbios,1,30,30,"100,00%",0,0,99
d6632189,2643,Pedido,233,Pneu 29 Beach VR Preto,2,70,140,"54,00%","32,09","64,18",13
956ef822,2643,Pedido,511f2753,Serviço de instalação de pneu,2,10,20,"100,00%",,0,5
77374d50,2643,Pedido,51769269,30 - Regulagem de freios,1,20,20,"100,00%",,0,99
bd474203,2643,Pedido,dd98c533,30 - Regulagem de câmbios,1,20,20,"100,00%",0,0,99
2bc5982f,2644,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,10,10,"100,00%",0,0,99
a965de79,2645,Pedido,182,Estojo Conserto de Câmara Vulcaflex,1,20,20,"54,00%","9,26","9,26",4
e768b0b4,2646,Pedido,182,Estojo Conserto de Câmara Vulcaflex,1,20,20,"54,00%","9,26","9,26",3
f13b29e6,2647,Pedido,234,Pneu Levorin Excessex 20 x 1.75,1,50,50,"51,00%","26,8","26,8",21
6bb2dec8,2647,Pedido,511f2753,Serviço de instalação de pneu,1,10,10,"100,00%",,0,5
71d23a85,2647,Pedido,184,Manete alumínio preto par,1,35,35,"58,00%","14,57","14,57",11
11408206,2647,Pedido,248,Punho comum infantil cores,1,15,15,"79,00%","3,5","3,5",12
b43b59cb,2647,Pedido,145,Jogo Freio V Break alumínio polido,1,60,60,"43,00%","22,9","22,9",11
f7dc8c07,2647,Pedido,1f89ca2f,Serviço de Instalação de Acessórios,1,30,30,"100,00%",,0,99
